tnsn ,titem_name ,titem_price ,tdescription 
---- ,---------- ,------------------------ ,------------ 
5345-01-432-3027 , Abrasive Bristle Disk ,54.98,"Grit size: 120; Taper: 5/8"". Regalite (aluminum oxide and ceramic aluminum oxide mix). Moulded abrasive filled surface conditioning bristle disk, used in conjunction with various right angle tools. This product is designed for deburring, blending, finishi"
5345-01-432-3032 , Abrasive Bristle Disk ,54.98,"Grit size: 80. Regalite (aluminum oxide and ceramic aluminum oxide mix). Molded abrasive filled surface conditioning bristle disk, used in conjunction with various right angle tools. This product is designed for deburring, blending, finishing, polishing a"
8115-00-117-8347 , Special-Use Box ,57.12,"Use exclusively for retiring, storing and shipping magnetic tapes to the Federal Archives and Records Center. This corrugated, fiberboard box features lapped joints secured by wire stitching. The lock-bottom box includes hand holes and has a bursting stre"
8115-00-117-8249 , Special-Use Box ,41.95,"Use exclusively for retiring, storing and shipping paper files to the Federal Records Centers. This corrugated, fiberboard box features lapped joints secured by wire stitching. The lock-bottom box includes hand holes and has a bursting strength of 275 psi"
4235-01-456-8858 ,(Spill-Containment Sock (Absorbent) ,73.27,"Wooly Snake sorbent is made of organic fibers and wool. Three-inch diameter, ideal for containing oil, coolant, solvents and water (universal). Molds easily and neatly around machinery. Reusable, environmentally friendly and biodegradable.  "
5120-00-474-2743 ,1/4 Socket Screwdriver ,5.92,Has a recessed flat-tip blade for carburetor adjustments. Tip is recessed in the outer socket wall to self-center. Measures 13/16 long with a 1/32-thick tip. Snap-on Tools P/N TM83A. Has a square female drive. For hand-tool use. Made of hardened steel wit
7530-01-503-8441 ,100% Postconsumer Paper ,68.99,"This product meets the need for an environmentally friendly paper, while delivering reliable, high quality performance. This minimum of 92 brightness paper is excellent for daily use in copiers and printers. Processed chlorine free (PCF) without additiona"
7530-01-503-8445 ,100% Post-Consumer Paper ,56.19,"Sheets are three-hole punched. This product meets the need for an environmentally friendly paper, while delivering reliable, high quality performance. This minimum of 92 brightness paper is excellent for daily use in copiers and printers. Processed chlori"
7530-01-503-8449 ,100% Post-Consumer Paper ,71.73,"This product meets the need for an environmentally friendly paper, while delivering reliable, high quality performance. This minimum of 92 brightness paper is excellent for daily use in copiers and printers. Processed chlorine free (PCF) without additiona"
7530-01-503-8453 ,100% Post-Consumer Paper ,54.81,"This product meets the need for an environmentally friendly paper, while delivering reliable, high quality performance. This minimum of 92 brightness paper is excellent for daily use in copiers and printers. Processed chlorine free (PCF) without additiona"
6645-01-342-8199 ,12/24 Hour Wall Clock ,27.24,"Round 12-24 hour wall clock, makes two revolutions every 24 hours.  Face is white, numbers, minute marks and hands are black and second hand is red. Quartz movement provides accuracy to +/- 1/3 second-per-day.  Hanging hardware is included.  Requires one "
5130-01-508-1221 ,12V Cordless Hazardous Location Driver ,"1,856.00","Fastening torque range:  7-40 in. lbs. This brushless 12-volt 1/4"" hex driver is UL listed for Class I, Division 2 (hazardous) locations for maximum 50 Degree C ambient.  It features: no-load speed: 400 RPM; pistol-grip handle; straight drive; quick-relea"
6645-01-342-5313 ,24 Hour Wall Clock ,23.97,"Round 24 hour wall clock, makes one revolution every 24 hours.  Face is white, numbers, minute marks and hands are black and second hand is red. Quartz movement provides accuracy to +/- 1/3 second-per-day.  Hanging hardware is included.  Requires one AA b"
6645-01-342-5314 ,24 Hour Wall Clock ,29.96,"Round 24 hour wall clock, makes one revolution every 24 hours.  Face is white, numbers, minute marks and hands are black and second hand is red. Quartz movement provides accuracy to +/- 1/3 second-per-day.  Hanging hardware is included.  Requires one AA b"
7045-01-365-2069 ,"3.5"" Disks ",5.41,"Formatted. High-quality, error-free floppy disks for data processing applications.  "
7530-01-335-2623 ,30% Postconsumer Paper ,39.06,"Sheets are not hole-punched. Hassle-free performance in copiers, laser and inkjet printers, plain paper fax machines and multifunction machines. This 92 bright paper provides excellent print contrast. Designed to stay flat and not curl. Perfect for corres"
7530-01-334-7817 ,30% Postconsumer Paper ,69,"Sheets are not hole-punched. Hassle-free performance in copiers, laser and inkjet printers, plain paper fax machines and multifunction machines. This 92 bright paper provides excellent print contrast. Designed to stay flat and not curl. Perfect for corres"
7045-01-442-1631 ,"3-1/2"" Disk ",11.9,"Formatted. High-quality, error-free floppy disks for data processing applications.  "
7045-01-283-4362 ,"3-1/2"" Disk ",5.02,"Unformatted. High-quality, error-free floppy disks for data processing applications.  "
7045-01-445-8813 ,"3-1/2"" Disks ",3.53,"Multiple, distinct colors that allow you to color-code your stored data. Two disks of each color: blue, green, orange, red and yellow. Labels included. Pre-formatted. High-quality, error-free floppy disks for data processing applications.  "
7045-01-406-4047 ,"3-1/2"" Disks ",3.02,"Pre-formatted. High-quality, error-free floppy disks for data processing applications.  "
7045-01-406-4045 ,"3-1/2"" Disks ",1.87,"Pre-formatted. High-quality, error-free floppy disks for data processing applications.  "
7490-01-477-7789 ,"4"" Hot Laminator ",37.52,"Laminates documents, luggage tags and business cards up to 4-1/2"" wide. Quick heat-up time, ready in 5 minutes maximum. Machine beeps when ready with light indicator for accurate operation.  Includes starter kit with pouches and carrier.  "
7530-01-555-2904 ,50% Postconsumer Paper ,42.82,"Aspen 50 copier paper has the same hardworking characteristics and brightness as non-recycled sheets. It is high-performing with excellent runnability. Engineered for use in high-speed copiers, printers, and plain-paper fax machines, this acid-free paper "
7530-01-539-9831 ,50% Postconsumer Paper ,70.45,"Dual purpose copier paper is processed chlorine free (PCF) and meets the requirements of JCP 065.  This paper also meets Air Force Regulation #AF164-117, Paragraph 1.10.4. 92 brightness. Acid-free, archival quality.  "
7530-01-539-9833 ,50% Postconsumer Paper ,70.45,"Dual purpose copier paper is processed chlorine free (PCF) and meets the requirements of JCP 065.  This paper also meets Air Force Regulation #AF164-117, Paragraph 1.10.4. 92 brightness. Acid-free, archival quality.  "
7530-01-539-9835 ,50% Postconsumer Paper ,91.35,"Dual purpose copier paper is processed chlorine free (PCF) and meets the requirements of JCP 065.  This paper also meets Air Force Regulation #AF164-117, Paragraph 1.10.4. 92 brightness. Acid-free, archival quality.  "
7530-01-539-9832 ,50% Postconsumer Paper ,71.56,"Paper is three-hole punched. Dual purpose copier paper is processed chlorine free (PCF) and meets the requirements of JCP 065.  This paper also meets Air Force Regulation #AF164-117, Paragraph 1.10.4. 92 brightness. Acid-free, archival quality.  "
7530-01-555-2911 ,50% Postconsumer Paper ,4.06,"Aspen 50 copier paper has the same hardworking characteristics and brightness as non-recycled sheets. It is high-performing with excellent runnability. Engineered for use in high-speed copiers, printers, and plain-paper fax machines, this acid-free paper "
8040-01-448-4791 ,Abrasion Film Adhesion Promoter ,59.84,An adhesion promoter/primer compound for use with 3M polyurethane Protective Tapes & other acrylic adhesives for enhancing initial adhesion properties.  
8040-01-450-9187 ,Abrasion Film Adhesion Promoter ,47.65,An adhesion promoter/primer compound for use with 3M polyurethane Protective Tapes & other acrylic adhesives for enhancing initial adhesion properties.  
5345-01-074-9406 ,"Abrasive  Disk, Silicon Carbine (PSA) ",55.28,"Grit size: 280. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-521-4185 ,Abrasive Aluminum Oxide Disk ,234.32,"Grit: 80. Abrasive disk is designed for environmentally friendly working conditions providing ""dust free"" vacuum sanding and extraction. Designed to be used with Clayton Abrasives, ""DustMaster Supreme"" orbital sander. Used for metal working.  "
5345-00-558-5929 ,Abrasive Aluminum Oxide Disk (Fiber) ,24.19,"Grit size: 16; with a 7/8"" arbor hole. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or slots).  "
5345-00-881-8380 ,Abrasive Aluminum Oxide Disk (Fiber) ,17.98,"Grit size: 50; with a 7/8"" arbor hole. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or slots).  "
5345-00-196-1698 ,Abrasive Aluminum Oxide Disk (Fiber) ,59.96,"Grit size: 80; with a 7/8"" arbor hole. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or slots).  "
5345-00-238-5685 ,Abrasive Aluminum Oxide Disk (Fiber) ,128.93,"Has a 7/8"" arbor hole. Grit size: 36. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a 7/8"" arbor hole (with 4 slits or slots).  "
5345-00-196-1696 ,Abrasive Aluminum Oxide Disk (Fiber) ,18.79,"Grit size: 60; with a 7/8"" arbor hole. Aluminum oxide. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or s"
5345-01-367-7682 ,Abrasive Aluminum Oxide Disk (PSA) ,318.18,"Box contains 10 rolls that consist of 125 disks per roll for a total of 1,250 disks per box. Grit size: 80. This flat disk is designed for use with dual action vacuum sanders for metal and wood working applications. Features pre-punched holes for ""dust-fr"
5345-01-105-8595 ,Abrasive Aluminum Oxide Disk (PSA) ,27.72,"Grit size: 80. Aluminum oxide. This flat disk is designed for use with dual action vacuum sanders for metal and wood working applications. Features pre-punched holes for ""dust-free"" sanding. Does not feature an arbor hole or open coat and is not waterproo"
5350-00-967-5092 ,Abrasive Aluminum Oxide Mat ,17.06,"Grit size: 100. This 9 x 11"" sheet is made of a non-woven, nylon fiber, non-metallic material, suitable for cleaning, scouring, finishing or preparing metal surfaces for painting.  "
5350-00-967-5093 ,Abrasive Aluminum Oxide Mat ,11.76,"Grit size: 180. This 9 x 11"" sheet is made of a non-woven, nylon fiber, non-metallic material, suitable for cleaning, scouring, finishing or preparing metal surfaces for painting.  "
5350-00-967-5089 ,Abrasive Aluminum Oxide Mat ,11.91,"Grit size: 280 to 400. This 9 x 11"" sheet is made of a non-woven, nylon fiber, non-metallic material, suitable for cleaning, scouring, finishing or preparing metal surfaces for painting.  "
5350-00-050-1094 ,Abrasive Blasting Material ,26.58,"Mesh size: 12/20. Walnut shell grain. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for preparing aircraft components fo"
5350-00-174-6460 ,Abrasive Blasting Material ,45.15,"Mesh size: 220. Aluminum oxide. Grain. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for preparing aircraft components f"
5350-00-619-8973 ,Abrasive Blasting Material ,45.12,"Mesh size: 36. Aluminum oxide. Grain. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for preparing aircraft components fo"
5350-00-576-9634 ,Abrasive Blasting Material ,31,"Sieve size: 13; MIL-PRF-9954 Spherical soda-lime glass bead abrasive. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for "
5350-00-935-7698 ,Abrasive Blasting Material ,39.43,"Sieve size: 3; MIL-PRF-9954. Spherical soda-lime glass bead abrasive. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for "
5350-00-950-9766 ,Abrasive Blasting Material ,32.31,"Sieve size: 6; MIL-PRF-9954 Spherical soda-lime glass bead abrasive. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for p"
